59 : 6834, 6316, 6612, 768167, 672413, 768289, 672523, 830147, 673996, 830132
60 : 5278, 421775, 615794, 411641, 509171, 864283, 227388, 336785, 399367, 311418
61 : 8402, 777151, 8564, 101592, 47079, 566368, 103322, 848323, 816034, 781951
62 : 6560, 838412, 838648, 838480, 655178, 825006, 449099, 890256, 423938, 654280
63 : 6321, 6413, 5989, 7094, 439221, 694080, 590708, 682414, 989396, 512491
64 : 5635, 476004, 848657, 617044, 641183, 546683, 675309, 397755, 422008, 901459
65 : 992978, 6405, 782307, 606380, 52188, 869634, 576180, 781821, 569962, 157002
66 : 5390, 5669, 686362, 7346, 376423, 414228, 7758, 53298, 102274, 997979
67 : 37790, 38036, 213670, 48146, 335382, 543283, 538358, 994346, 38802, 520776
68 : 745206, 475045, 743583, 814150, 734709, 477883, 814152, 528107, 323185, 741851
69 : 956344, 511904, 229951, 231693, 778803, 458570, 322838, 634609, 239136, 465284
70 : 6124, 6430, 5912, 768112, 541740, 6804, 655162, 768142, 543487, 768033
71 : 5826, 5885, 754927, 795689, 795787, 399103, 5155, 887421, 217444, 496198
72 : 448667, 57922, 699496, 906834, 268892, 204614, 277568, 198752, 700028, 483587
73 : 6853, 190271, 405640, 470408, 86188, 573991, 986963, 574996, 88691, 256424
74 : 7364, 353104, 426975, 437048, 314481, 426817, 548275, 724824, 831381, 55790
75 : 6553, 874762, 937405, 106343, 823106, 7616, 481177, 952748, 335363, 456105
76 : 120210, 218377, 324333, 273005, 194189, 267648, 203370, 284144, 890258, 821033
77 : 908325, 322937, 581325, 988313, 907550, 30911, 32969, 171405, 468269, 87779
78 : 544739, 924921, 547884, 464954, 465039, 496766, 464949, 151237, 730884, 92163
79 : 6070, 919617, 138184, 8069, 5967, 673324, 8486, 411888, 118923, 674756
80 : 7451, 591140, 7188, 900930, 610680, 918058, 588905, 420058, 870629, 66816
81 : 833230, 840245, 986179, 223910, 800817, 603552, 888353, 834026, 365342, 11237
82 : 177759, 31395, 280953, 127248, 806288, 522375, 679265, 210676, 154577, 275418
83 : 296270, 6005, 714059, 847922, 414280, 74493, 40878, 6778, 566213, 905839
84 : 8894, 227733, 32475, 216176, 280838, 711937, 469776, 299339, 351328, 215822
85 : 754930, 419010, 802125, 797123, 479889, 479823, 479638, 208081, 409350, 480026
86 : 807714, 642062, 73061, 910669, 900912, 424719, 253067, 808513, 526166, 114829
87 : 7722, 526037, 297056, 39337, 643125, 282502, 521335, 417700, 642572, 820955
88 : 7098, 39462, 38464, 6901, 38545, 38522, 38386, 8899, 7065, 38240
89 : 7627, 754531, 811323, 7118, 823542, 825274, 187888, 386717, 521135, 825058
90 : 9258, 9417, 84465, 821939, 815480, 815326, 85967, 815425, 85193, 815524
91 : 439826, 648328, 57569, 707795, 187329, 802478, 876763, 407337, 783564, 910423
92 : 8356, 7797, 511325, 806838, 792323, 349404, 183768, 956233, 942656, 863588
93 : 991587, 437379, 338664, 742678, 742597, 742556, 311426, 826938, 963357, 274922
94 : 8419, 37970, 986478, 962974, 857588, 985312, 616609, 856493, 875276, 478217
95 : 849118, 664898, 691386, 332322, 298797, 916928, 785689, 332566, 625082, 312589
96 : 436416, 309650, 267400, 203122, 656723, 519686, 354583, 307804, 518456, 24937
97 : 8825, 807683, 84825, 84157, 57297, 381144, 260607, 397268, 266655, 202377
98 : 112511, 911693, 768297, 896881, 37844, 37993, 39076, 793629, 280557, 207803
99 : 8082, 440321, 753623, 8782, 368453, 637319, 753679, 155524, 369366, 305493
